[(12.972965, 77.57335799999998)],[ChIJq1vt9QUWrjsRL_5TBuu09g0]
[(12.9753576, 77.55855339999994)],[ChIJAU_Uyfk9rjsRkP1QVV1AtmY]
[(12.966383, 77.57851699999992)],[ChIJnxqNB-IVrjsRA_Zg6aYUGK8]
[(12.965854, 77.57825600000001)],[ChIJxXWsD-IVrjsR_PW09hvvgWQ]
[(12.976948, 77.57881900000007)],[ChIJZ5C3CA4WrjsRwe4vnaU2z1M]
[(12.975636, 77.55622900000003)],[ChIJHZcc9vk9rjsRxuW79zo70hI]
[(12.964781, 77.577134)],[ChIJn2b8QuIVrjsR2eNtqjw4apU]
[(12.9674719, 77.59254629999998)],[ChIJ2wQsJHYWrjsRIeEIXjhWpbE]
[(12.963532, 77.57172000000003)],[ChIJL97BHv0VrjsRFt7FgW7YG2M]
[(12.963521, 77.58210600000007)],[ChIJqTBB_uAVrjsR393eCQi66tY]
[(12.967067, 77.583303)],[ChIJy6XEmAoWrjsR1djcMCk6C3M]
[(12.9746526, 77.55689849999999)],[ChIJib_dj_k9rjsR9Mt6cq-VNdw]
[(12.965903, 77.57659699999999)],[ChIJKTEMfOIVrjsRNsaGtbjmZUA]
[(12.9670128, 77.5919867)],[ChIJ_YYaoNgVrjsR_sPXM9o4Mrg]
[(12.9700439, 77.57256789999997)],[ChIJL5ibPAYWrjsRUr7B7AnC-mI]
[(12.9679864, 77.5786286)],[ChIJ5xa86QsWrjsRrLkKm1G4aeg]
[(12.975743, 77.55857800000001)],[ChIJB6Dazvk9rjsRzaH6ohBLWJk]
[(12.975636, 77.55622900000003)],[ChIJHZcc9vk9rjsRpJt6IGIV6es]
[(12.970364, 77.57339100000002)],[ChIJ_cxw6gsWrjsRT4tOat5bmmY]
[(12.96351, 77.558585)],[ChIJj8ni8AA-rjsRGosYgvsp9OE]
[(12.969347, 77.57273599999996)],[ChIJgWgPLgYWrjsR7oqvmuppfck]
[(12.975607, 77.57658100000003)],[ChIJ_9fCTQ4WrjsRYnmKZbCwEvo]
[(12.9684051, 77.57027649999998)],[ChIJEda_BgcWrjsRQnjgTJWCsUM]
[(12.968047, 77.57025799999997)],[ChIJi4vACAcWrjsRIHEU1KZp6CA]
[(12.9686352, 77.57906000000003)],[ChIJMbHXkgsWrjsR8G-vbeM778Y]
[(12.967985, 77.57862799999998)],[ChIJLbn7jAkWrjsRYG46Aq5BOEg]
[(12.9680153, 77.57524969999997)],[ChIJK1CmRggWrjsRYmaG8Qw9rcU]
[(12.965353, 77.58416499999998)],[ChIJyfFeDeAVrjsRSWawU8HdZyw]
[(12.974602, 77.55674499999998)],[ChIJYdt3j_k9rjsRo2HoNlzmpuo]
[(12.9650875, 77.57507050000004)],[ChIJoVE0lOIVrjsRoFbxfC-Qhwg]
[(12.9671559, 77.58927870000002)],[ChIJQfrl9HUWrjsRn1beu17IGJc]
[(12.9711547, 77.5571301)],[ChIJrXPkTPk9rjsRK1CcoQSoN0A]
[(12.973907, 77.57452799999999)],[ChIJ56bCbQ8WrjsRtEUKqXgnp64]
[(12.971533, 77.56168300000002)],[ChIJf1PAq_g9rjsR-C0fFBSkNWY]
[(12.966669, 77.57755100000008)],[ChIJNWFk3gkWrjsRiiNUWyJHiT8]
[(12.967429, 77.57668100000001)],[ChIJoWv36AkWrjsR1hV2phkgzYI]
[(12.967204, 77.575332)],[ChIJG4ewOwgWrjsR6BQCRRDdfV0]
[(12.9739247, 77.54959740000004)],[ChIJO5BmJOU9rjsRZC4PO8YgNb8]
[(12.964573, 77.54960600000004)],[ChIJKVaLbwc-rjsRR4RDu3wBmeM]
[(12.9742883, 77.54860209999993)],[ChIJWV7BEOU9rjsRHli0wtYrjpM]
[(12.9845081, 77.55376030000002)],[ChIJYdkcrPM9rjsR4aWWuNUfPnA]
[(12.9832453, 77.59573279999995)],[ChIJ9dpTfWMWrjsRqYzL_tU1ExI]
[(12.9843682, 77.56033400000001)],[ChIJdaS0vfU9rjsROdUgavRsrOM]
